age,gender,standardWeight,measurement_type,wattbike_original,relative_power,P96,P80,P20,P4
9,F,26.9,strength_15s,18.34,39.36,45,41,33,28
9,F,26.9,muscle_endurance_30s,8.84,32.11,37,34,27,22
9,F,26.9,cardio_endurance_60s,8.84,26.20,30,28,22,18
9,F,26.9,long_endurance_180s,6.15,20.45,24,21,17,14
9,F,26.9,long_endurance_300s,6.15,18.23,21,19,15,13
10,F,30.5,power_5s,18.13,56.00,64,59,48,39
10,F,30.5,strength_15s,18.13,40.58,47,43,34,28
10,F,30.5,muscle_endurance_30s,8.75,33.12,38,35,28,23
10,F,30.5,cardio_endurance_60s,8.75,27.03,31,28,23,19
10,F,30.5,long_endurance_180s,6.05,21.01,24,22,18,15
10,F,30.5,long_endurance_300s,6.05,18.69,21,20,16,13
11,F,34.7,power_5s,17.91,57.73,66,61,49,40
11,F,34.7,strength_15s,17.91,41.87,48,44,36,29
11,F,34.7,muscle_endurance_30s,8.66,34.19,39,36,29,24
11,F,34.7,cardio_endurance_60s,8.66,27.91,32,29,24,20
11,F,34.7,long_endurance_180s,5.96,21.63,25,23,18,15
11,F,34.7,long_endurance_300s,5.96,19.21,22,20,16,13
12,F,39.2,power_5s,17.70,59.40,68,62,50,42
12,F,39.2,strength_15s,17.70,43.08,50,45,37,30
12,F,39.2,muscle_endurance_30s,8.56,35.18,40,37,30,25
12,F,39.2,cardio_endurance_60s,8.56,28.72,33,30,24,20
12,F,39.2,long_endurance_180s,5.87,22.20,26,23,19,16
12,F,39.2,long_endurance_300s,5.87,19.70,23,21,17,14
